title,english_title,romaji_title,genres,rating_anilist,rating_mal,episodes,status,format,season,year,synopsis,studio,source_material,popularity_anilist,mal_members,mal_rank,cover_image_url,start_date,end_date,duration_per_ep,age_rating,mal_id
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Action | Adventure | Drama | Fantasy,9.0,9.11,64.0,FINISHED,TV,SPRING,2009.0,"""In order for something to be obtained, something of equal value must be lost."" Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist. Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity. (Source: MAL Rewrite)",bones,MANGA,693251,3688199.0,3.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5114-nSWCgQlmOMtj.jpg,2009-04-05,2010-07-04,25.0,R - 17+ (violence & profanity),5114.0
Naruto,Naruto,NARUTO,Action | Adventure | Comedy | Drama | Fantasy | Supernatural,8.0,8.02,220.0,FINISHED,TV,FALL,2002.0,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Shunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. (Source: MAL Rewrite)",Studio Pierrot,MANGA,689246,3122140.0,729.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20-dE6UHbFFg1A5.jpg,2002-10-03,2007-02-08,23.0,PG-13 - Teens 13 or older,20.0
Sword Art Online,Sword Art Online,Sword Art Online,Action | Adventure | Fantasy | Romance,7.0,7.23,25.0,FINISHED,TV,SUMMER,2012.0,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now... (Source: Crunchyroll)",A-1 Pictures,LIGHT_NOVEL,686409,3304019.0,3875.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11757-SxYDUzdr9rh2.jpg,2012-07-08,2012-12-23,23.0,PG-13 - Teens 13 or older,11757.0
Your Name.,Your Name.,Kimi no Na wa.,Drama | Romance | Supernatural,8.6,8.82,1.0,FINISHED,MOVIE,SUMMER,2016.0,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture. One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another. Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance. (Source: MAL Rewrite)",CoMix Wave,ORIGINAL,679163,3032023.0,37.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21519-SUo3ZQuCbYhJ.png,2016-08-26,2016-08-26,107.0,PG-13 - Teens 13 or older,32281.0
A Silent Voice,A Silent Voice,Koe no Katachi,Drama | Romance | Slice of Life,8.8,8.93,1.0,FINISHED,MOVIE,SUMMER,2016.0,"After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shouko, the class turns its back on him. Shouko transfers and Shouya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends. (Source: Eleven Arts)",Kyoto Animation,MANGA,676253,2621300.0,20.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20954-sYRfE5jQRtSB.jpg,2016-09-17,2016-09-17,130.0,PG-13 - Teens 13 or older,28851.0
Attack on Titan Season 3,Attack on Titan Season 3,Shingeki no Kyojin Season 3,Action | Drama | Fantasy | Mystery,8.6,8.64,12.0,FINISHED,TV,SUMMER,2018.0,"Eren and his companions in the 104th are assigned to the newly-formed Levi Squad, whose assignment is to keep Eren and Historia safe given Eren's newly-discovered power and Historia's knowledge and pedigree. Levi and Erwin have good reason to be concerned, because the priest of the Church that Hanji had hidden away was found tortured to death, making it clear that the Military Police are involved with the cover-up. Things get more harrowing when the MPs make a move on Erwin and the Levi Squad narrowly avoids capture. Eren is also having problems with his Titan transformation, and a deadly killer has been hired to secure Eren and Historia, one Levi knows all too well from his youth. (Source: Anime News Network)",WIT STUDIO,MANGA,654994,2670983.0,91.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99147-AiPDD8cwlCfi.jpg,2018-07-23,2018-10-15,24.0,R - 17+ (violence & profanity),35760.0
My Hero Academia Season 2,My Hero Academia Season 2,Boku no Hero Academia 2,Action | Adventure | Comedy,8.0,8.05,25.0,FINISHED,TV,SPRING,2017.0,"Taking off right after the last episode of the first season. The school is temporarily closed due to security. When U.A. restarts, it is announced that the highly anticipated School Sports Festival will soon be taking place. All classes: Hero, Support, General and Business will be participating. Tournaments all round will decide who is the top Hero in training.(Source: Anime News Network)",bones,MANGA,630108,2737334.0,675.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21856-gutauxhWAwn6.png,2017-04-01,2017-09-30,24.0,PG-13 - Teens 13 or older,33486.0
Attack on Titan Final Season,Attack on Titan Final Season,Shingeki no Kyojin: The Final Season,Action | Drama | Fantasy | Mystery,8.7,8.79,16.0,FINISHED,TV,WINTER,2021.0,"It’s been four years since the Scout Regiment reached the shoreline, and the world looks different now. Things are heating up as the fate of the Scout Regiment—and the people of Paradis—are determined at last. However, Eren is missing. Will he reappear before age-old tensions between Marleyans and Eldians result in the war of all wars? (Source: Crunchyroll)",MAPPA,MANGA,612311,2294450.0,39.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx110277-sKUNXAsWMNFw.jpg,2020-12-07,2021-03-29,24.0,R - 17+ (violence & profanity),40028.0
The Promised Neverland,The Promised Neverland,Yakusoku no Neverland,Drama | Fantasy | Horror | Mystery | Psychological | Thriller,8.4,8.47,12.0,FINISHED,TV,WINTER,2019.0,"Emma, Norman and Ray are the brightest kids at the Grace Field House orphanage. And under the care of the woman they refer to as “Mom,” all the kids have enjoyed a comfortable life. Good food, clean clothes and the perfect environment to learn—what more could an orphan ask for? One day, though, Emma and Norman uncover the dark truth of the outside world they are forbidden from seeing. (Source: VIZ Media)",CloverWorks,MANGA,609761,2158098.0,183.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101759-8UR7r9MNVpz2.jpg,2019-01-10,2019-03-29,23.0,R - 17+ (violence & profanity),37779.0
Assassination Classroom,Assassination Classroom,Ansatsu Kyoushitsu,Action | Comedy | Drama | Supernatural,7.9,8.07,22.0,FINISHED,TV,WINTER,2015.0,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?",Lerche,MANGA,601325,2219005.0,644.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20755-dWrhs569YGUO.jpg,2015-01-10,2015-06-20,23.0,PG-13 - Teens 13 or older,24833.0
Mob Psycho 100,Mob Psycho 100,Mob Psycho 100,Action | Comedy | Drama | Psychological | Slice of Life | Supernatural,8.4,8.49,12.0,FINISHED,TV,SUMMER,2016.0,"The story revolves around ""Mob,"" a boy who will explode if his emotional capacity reaches 100%. This boy with psychic powers earned his nickname ""Mob"" because he does not stand out among other people. He keeps his psychic powers bottled up so he can live normally, but if his emotional level reaches 100, something will overwhelm his entire body. (Source: Anime News Network)",bones,MANGA,595943,2324769.0,172.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21507-6YUSbh2m0N1p.jpg,2016-07-12,2016-09-27,24.0,PG-13 - Teens 13 or older,32182.0
Chainsaw Man,Chainsaw Man,Chainsaw Man,Action | Drama | Horror | Supernatural,8.3,8.43,12.0,FINISHED,TV,FALL,2022.0,"Denji is a teenage boy living with a Chainsaw Devil named Pochita. Due to the debt his father left behind, he has been living a rock-bottom life while repaying his debt by harvesting devil corpses with Pochita. One day, Denji is betrayed and killed. As his consciousness fades, he makes a contract with Pochita and gets revived as ""Chainsaw Man"" — a man with a devil's heart. (Source: Crunchyroll)",MAPPA,MANGA,586646,1972319.0,200.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx127230-DdP4vAdssLoz.png,2022-10-12,2022-12-28,25.0,R - 17+ (violence & profanity),44511.0
Your lie in April,Your lie in April,Shigatsu wa Kimi no Uso,Drama | Music | Romance | Slice of Life,8.4,8.64,22.0,FINISHED,TV,FALL,2014.0,"Piano prodigy Arima Kousei dominated the competition and all child musicians knew his name. But after his mother, who was also his instructor, passed away, he had a mental breakdown while performing at a recital. This resulted in him no longer being able to hear the sound of his piano playing. Two years later, Kousei hasn’t touched the piano and views the world without any flair or color. He was content at living out his life with his good friends Tsubaki and Watari until, one day, a girl changed everything. Miyazono Kaori is a pretty, free spirited violinist whose playing style reflects her personality. Kaori helps Kousei return to the music world and show that it should be free and mold breaking unlike the structured and rigid style Kousei was used to.",A-1 Pictures,MANGA,585219,2430183.0,90.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20665-TLgkL8T8IRFd.png,2014-10-10,2015-03-20,23.0,PG-13 - Teens 13 or older,23273.0
Re:ZERO -Starting Life in Another World-,Re:ZERO -Starting Life in Another World-,Re:Zero kara Hajimeru Isekai Seikatsu,Action | Adventure | Drama | Fantasy | Psychological | Romance | Thriller,8.1,8.25,25.0,FINISHED,TV,SPRING,2016.0,"In the story, Subaru Natsuki is an ordinary high school student who is lost in an alternate world, where he is rescued by a beautiful, silver-haired girl. He stays near her to return the favor, but the destiny she is burdened with is more than Subaru can imagine. Enemies attack one by one, and both of them are killed. He then finds out he has the power to rewind death, back to the time he first came to this world. But only he remembers what has happened since. (Source: Anime News Network) Notes: - The first episode aired with a runtime of ~50 minutes as opposed to the standard 25 minute long episode. - In the Winter 2020 season, Re:ZERO was rebroadcast and re-edited to fit into an hour time-slot. This edit included the first OVA and added slight modifications to certain scenes throughout. It also added an additional scene at the end of the final episode.",WHITE FOX,LIGHT_NOVEL,583381,2464739.0,390.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21355-wRVUrGxpvIQQ.jpg,2016-04-04,2016-09-19,25.0,R - 17+ (violence & profanity),31240.0
Attack on Titan Season 3 Part 2,Attack on Titan Season 3 Part 2,Shingeki no Kyojin Season 3 Part 2,Action | Drama | Fantasy | Mystery,9.0,9.05,10.0,FINISHED,TV,SPRING,2019.0,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival? (Source: Funimation)",WIT STUDIO,MANGA,583065,2597760.0,8.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104578-k61nx3LPjvgd.jpg,2019-04-29,2019-07-01,24.0,R - 17+ (violence & profanity),38524.0
Naruto: Shippuden,Naruto: Shippuden,NARUTO: Shippuuden,Action | Adventure | Comedy | Drama | Fantasy | Supernatural,8.2,8.29,500.0,FINISHED,TV,WINTER,2007.0,"Naruto: Shippuuden is the continuation of the original animated TV series Naruto. The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as he has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki. (Source: Anime News Network)",Studio Pierrot,MANGA,580530,2752749.0,338.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1735-kGfVm0YqCPcu.png,2007-02-15,2017-03-23,23.0,PG-13 - Teens 13 or older,1735.0
ERASED,ERASED,Boku dake ga Inai Machi,Drama | Mystery | Psychological | Supernatural | Thriller,8.1,8.31,12.0,FINISHED,TV,WINTER,2016.0,"Satoru Fujinuma is a 29 year old manga artist struggling to make a name for himself following his debut. But, that was not the only thing in his life that Satoru was feeling frustrated about… He has a unique supernatural ability of being forced to prevent deaths and catastrophes by being sent back in time before the incident occurred, repeating time until the accident is prevented. One day, he gets involved in an accident that has him framed as a murderer. Desperate to save the victim, he sends himself back in time only to find himself as a grade-schooler one month before fellow classmate Kayo Hinazuki went missing. Satoru now embarks on a new quest: to save Kayo and solve the mystery behind her disappearance.",A-1 Pictures,MANGA,579919,2297292.0,313.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21234-XmqW39aQ9o7O.jpg,2016-01-08,2016-03-25,23.0,R - 17+ (violence & profanity),31043.0
My Hero Academia Season 3,My Hero Academia Season 3,Boku no Hero Academia 3,Action | Adventure | Comedy | Drama,7.9,7.98,25.0,FINISHED,TV,SPRING,2018.0,"Summer is here, and the heroes of Class 1-A and 1-B are in for the toughest training camp of their lives! A group of seasoned pros pushes everyone's Quirks to new heights as the students face one overwhelming challenge after another. Braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival.(Source: Crunchyroll)",bones,MANGA,577418,2386445.0,791.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100166-jUCZYbzn2XLw.jpg,2018-04-07,2018-09-29,24.0,PG-13 - Teens 13 or older,36456.0
Steins;Gate,Steins;Gate,Steins;Gate,Drama | Psychological | Sci-Fi | Thriller,8.9,9.07,24.0,FINISHED,TV,SPRING,2011.0,"Self-proclaimed mad scientist Okabe Rintarou lives in a small room in Akihabara, where he invents ""future gadgets"" with fellow lab members Shiina Mayuri, his air-headed childhood friend, and Hashida Itaru, an otaku hacker. The three pass the time by tinkering with their latest creation, a ""Phone Microwave"" that can be controlled through text messages. The lab members soon face a string of mysterious incidents that lead to a game-changing discovery: the Phone Microwave can send emails to the past and thus alter history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe to the depths of scientific theory and human despair as he faces the dire consequences of changing the past.",WHITE FOX,VISUAL_NOVEL,567005,2817207.0,5.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9253-tIUXF2gfU8Sg.jpg,2011-04-06,2011-09-14,24.0,PG-13 - Teens 13 or older,9253.0
HAIKYU!!,HAIKYU!!,Haikyuu!!,Comedy | Drama | Sports,8.4,8.43,25.0,FINISHED,TV,SPRING,2014.0,"Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate. Thanks to his short height, Hinata struggles to find his role on the team, even with his superior jumping power. Surprisingly, Kageyama has his own problems that only Hinata can help with, and learning to work together appears to be the only way for the team to be successful. Based on Haruichi Furudate's popular shounen manga of the same name, Haikyuu!! is an exhilarating and emotional sports comedy following two determined athletes as they attempt to patch a heated rivalry in order to make their high school volleyball team the best in Japan. [Written by MAL Rewrite]",Production I.G,MANGA,559489,2177157.0,201.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20464-ooZUyBe4ptp9.png,2014-04-06,2014-09-21,24.0,PG-13 - Teens 13 or older,20583.0
Black Clover,Black Clover,Black Clover,Action | Adventure | Comedy | Fantasy,7.9,8.14,170.0,FINISHED,TV,FALL,2017.0,"In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, Asta is the only one in this world without any. At the age of fifteen, both receive grimoires, magic books that amplify their holder’s magic. Asta’s is a rare Grimoire of Anti-Magic that negates and repels his opponent’s spells. Being opposite but good rivals, Yuno and Asta are ready for the hardest of challenges to achieve their common dream: to be the Wizard King. Giving up is never an option! (Source: Crunchyroll)",Studio Pierrot,MANGA,549428,1906609.0,533.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97940-fyh8o7gNbha0.png,2017-10-03,2021-03-30,24.0,PG-13 - Teens 13 or older,34572.0
Rascal Does Not Dream of Bunny Girl Senpai,Rascal Does Not Dream of Bunny Girl Senpai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Comedy | Drama | Mystery | Psychological | Romance | Supernatural,8.1,8.23,13.0,FINISHED,TV,FALL,2018.0,"There's a rumor about a mysterious phenomenon called ""puberty syndrome."" For example, Sakuta Azusagawa is a high school student who suddenly sees a bunny girl appear in front of him. The girl is actually a girl named Mai Sakurajima, who is Sakuta's upperclassman who is also a famous actress who has gone on hiatus from the entertainment industry. For some reason, the people around Mai cannot see her bunny-girl figure. Sakuta sets out to solve this mystery, and as he spends time with Mai, he learns her secret feelings. Other heroines who have ""puberty syndrome"" start to appear in front of Sakuta. (Source: Anime News Network)",CloverWorks,LIGHT_NOVEL,549368,1964729.0,416.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101291-wfEdgPqtfU0l.jpg,2018-10-04,2018-12-27,25.0,PG-13 - Teens 13 or older,37450.0
